Index,Words,CH,Part,Correct,Error,Box
304,delegate,代表,n,0,0,0
305,delivery,遞送,n,0,0,0
306,demand,請求、強烈需求,n,0,0,0
307,departure,離開、啟程,n,0,0,0
308,deputy,代理人,n,0,0,0
309,description,描寫,n,0,0,0
310,designer,設計師,n,0,0,0
311,destruction,毀滅,n,0,0,0
312,dignity,尊嚴、尊貴,n,0,0,0
第八次,0,0,0,0,0,0
313,diploma,學位文憑,n,0,0,0
314,discipline,紀律、訓練,n,0,0,0
315,discount,折扣,n,0,0,0
316,disguise,偽裝,n,0,0,0
317,dissatisfaction,不滿,n,0,0,0
318,draft,草稿,n,0,0,0
319,dread,害怕,n,0,0,0
320,edition,發行版、版本,n,0,0,0
321,efficiency,效率,n,0,0,0
322,emergency,緊急狀況,n,0,0,0
323,employee,員工,n,0,0,0
324,employment,雇用,n,0,0,0
325,encouragement,鼓勵,n,0,0,0
326,endurance,忍受、耐力,n,0,0,0
327,entertainer,表演者、娛樂家,n,0,0,0
328,enthusiasm,熱情,n,0,0,0
329,entry,入場,n,0,0,0
330,errand,跑腿、差事,n,0,0,0
331,exchange,交換,n,0,0,0
332,excitement,興奮,n,0,0,0
333,excursion,遠足,n,0,0,0
334,executive,執行管理者,n,0,0,0
335,exhibition,展覽,n,0,0,0
336,expense,費用,n,0,0,0
337,expression,表達、表情,n,0,0,0
338,extension,延期、伸展,n,0,0,0
339,extent,長寬廣度的範圍,n,0,0,0
340,feast,盛宴,n,0,0,0
341,feedback,回饋,n,0,0,0
342,ferry,渡輪,n,0,0,0
343,file,檔案,n,0,0,0
344,glory,光榮、可誇耀的事,n,0,0,0
345,goods,貨品,n,0,0,0
346,grace,優雅、恩典,n,0,0,0
347,graduate,大學畢業生,n,0,0,0
348,gratitude,感激,n,0,0,0
349,greeting,問候,n,0,0,0
350,guidance,引導、諮詢,n,0,0,0
第九次,0,0,0,0,0,0
351,guilt,犯罪、內疚,n,0,0,0
352,harbor,港口,n,0,0,0
353,hardship,困苦,n,0,0,0
354,harmony,和諧,n,0,0,0
355,harvest,豐收,n,0,0,0
356,hassle,困難的事、困擾,n,0,0,0
357,hesitation,猶豫,n,0,0,0
358,hint,暗示,n,0,0,0
359,identity,身分,n,0,0,0
360,ignorance,無知,n,0,0,0
361,illness,生病,n,0,0,0
362,illustration,插畫、圖片,n,0,0,0
363,implication,含意、暗指,n,0,0,0
364,impression,印象,n,0,0,0
365,improvement,改善,n,0,0,0
366,incident,事件,n,0,0,0
367,independence,獨立,n,0,0,0
368,ingredient,構成的原料,n,0,0,0
369,inquiry,詢問,n,0,0,0
370,instinct,本能、直覺,n,0,0,0
371,instruction,指示、說明、教導,n,0,0,0
372,insult,侮辱,n,0,0,0
373,insurance,保險,n,0,0,0
374,intention,意圖、目的,n,0,0,0
375,interval,中場休息,n,0,0,0
376,introduction,採用、介紹,n,0,0,0
377,jealousy,嫉妒,n,0,0,0
378,labor,勞工、勞方、勞力,n,0,0,0
379,landmark,地標,n,0,0,0
380,lecture,授課、演講,n,0,0,0
381,leisure,空閒,n,0,0,0
382,load,工作量,n,0,0,0
383,location,地理位置,n,0,0,0
384,log,圓木,n,0,0,0
385,loyalty,忠誠,n,0,0,0
386,luck,運氣,n,0,0,0
387,luggage,行李,n,0,0,0
388,machinery,機器(總稱),n,0,0,0
第十次,0,0,0,0,0,0
389,management,管理,n,0,0,0
390,manufacturer,製造廠,n,0,0,0
391,maturity,成熟、完善狀態,n,0,0,0
392,membership,會員身分,n,0,0,0
393,memorandum,備忘錄,n,0,0,0
394,merit,優點、長處,n,0,0,0
395,mess,凌亂,n,0,0,0
396,mine,礦、礦坑,n,0,0,0
397,misery,悲慘、困境,n,0,0,0
398,modesty,謙遜,n,0,0,0
399,motivation,動機,n,0,0,0
400,nap,打盹、休息,n,0,0,0
401,necessity,必要性、必需品,n,0,0,0
402,negotiation,協商,n,0,0,0
403,nerve,神經、膽量,n,0,0,0
404,network,網路,n,0,0,0
405,objection,反對,n,0,0,0
406,objective,目標,n,0,0,0
407,occupation,消遣、職業,n,0,0,0
408,offense,犯錯、觸怒,n,0,0,0
409,opponent,對手,n,0,0,0
410,output,輸出、產量,n,0,0,0
411,ownership,擁有權,n,0,0,0
412,panel,儀錶板、小組,n,0,0,0
413,parking,停車,n,0,0,0
414,parliament,國會、國會議員,n,0,0,0
415,participant,參加者,n,0,0,0
416,passage,通道、走廊,n,0,0,0
417,passion,熱情,n,0,0,0
418,passport,護照,n,0,0,0
419,performance,表演、演出,n,0,0,0
420,permission,同意、允許,n,0,0,0
421,personality,個性,n,0,0,0
422,persuasion,說服、說服力,n,0,0,0
423,philosophy,哲學,n,0,0,0
424,photography,攝影,n,0,0,0
第十一次,0,0,0,0,0,0
425,postage,郵資,n,0,0,0
426,preparation,準備,n,0,0,0
427,presence,出席、在場,n,0,0,0
428,pressure,壓力,n,0,0,0
429,preview,預先審查、預習,n,0,0,0
430,privacy,隱私,n,0,0,0
431,privilege,特權,n,0,0,0
432,procedure,程序,n,0,0,0
433,process,過程,n,0,0,0
434,profession,專業職業,n,0,0,0
435,profit,利潤,n,0,0,0
436,promotion,晉升,n,0,0,0
437,proposal,建議、求婚,n,0,0,0
438,prospect,指望、前景,n,0,0,0
439,prosperity,繁榮,n,0,0,0
440,publication,出版,n,0,0,0
441,publicity,宣傳,n,0,0,0
442,pursuit,追尋,n,0,0,0
443,qualification,資格、條件,n,0,0,0
444,receipt,收據,n,0,0,0
445,reception,接待、歡迎會,n,0,0,0
446,refusal,拒絕,n,0,0,0
447,registration,註冊,n,0,0,0
448,regulation,規定,n,0,0,0
449,rehearsal,彩排,n,0,0,0
450,relaxation,放鬆、放寬,n,0,0,0
451,relief,減輕、緩和,n,0,0,0
452,remark,言論、評論,n,0,0,0
453,reminder,提示,n,0,0,0
454,repetition,重複,n,0,0,0
455,representation,代理權、代理機構,n,0,0,0
456,reputation,名聲,n,0,0,0
457,request,要求,n,0,0,0
458,requirement,必要條件、必需品,n,0,0,0
459,resignation,辭職、辭職信,n,0,0,0
460,responsibility,責任,n,0,0,0
461,restriction,限定、約束,n,0,0,0
462,retreat,撤退、退隱處,n,0,0,0
第十二次,0,0,0,0,0,0
463,revision,修訂,n,0,0,0
464,routine,例行工作、常規,n,0,0,0
465,rumor,謠言、傳說,n,0,0,0
466,salary,薪水,n,0,0,0
467,sanction,制裁、懲罰,n,0,0,0
468,satisfaction,滿足,n,0,0,0
469,schedule,工作行程,n,0,0,0
470,scheme,計畫、方案,n,0,0,0
471,security,安全性,n,0,0,0
472,selection,選擇,n,0,0,0
473,session,會期、時間,n,0,0,0
474,settlement,定居、解決,n,0,0,0
475,shortcoming,弱點、缺點,n,0,0,0
476,signature,簽名,n,0,0,0
477,situation,處境、情勢,n,0,0,0
478,spite,惡意,n,0,0,0
479,strategy,策略,n,0,0,0
480,strength,力量、長處,n,0,0,0
481,substitute,替代,n,0,0,0
482,suburb,郊區,n,0,0,0
483,suggestion,建議,n,0,0,0
484,summary,概述、總結,n,0,0,0
485,summit,高峰、頂點,n,0,0,0
486,surroundings,環境、周遭,n,0,0,0
487,suspension,懸吊、停職,n,0,0,0
488,suspicion,懷疑,n,0,0,0
489,temper,脾氣,n,0,0,0
490,tendency,傾向、趨勢,n,0,0,0
491,tension,緊張,n,0,0,0
492,theme,主題,n,0,0,0
493,threat,威脅,n,0,0,0
494,tolerance,寬容、忍耐,n,0,0,0
495,trademark,商標、特徵 ,n,0,0,0
496,translation,翻譯,n,0,0,0
497,treaty,協定,n,0,0,0
498,trend,趨勢,n,0,0,0
499,virus,病毒,n,0,0,0
500,welfare,幸福、福利,n,0,0,0
501,wisdom,智慧,n,0,0,0
502,wit,機智,n,0,0,0
第十三次,0,0,0,0,0,0
503,acceptance,認同、接受,n,0,0,0
504,accommodation,住處、住宿問題,n,0,0,0
505,account,帳戶、帳目,n,0,0,0
506,agreement,同意、協議,n,0,0,0
507,agriculture,農業,n,0,0,0
508,alternative,選擇性,n,0,0,0
509,ambassador,大使,n,0,0,0
510,announcement,宣布、通告,n,0,0,0
511,appeal,懇求、吸引力,n,0,0,0
512,approval,同意,n,0,0,0
513,architecture,建築學、建築,n,0,0,0
514,aspect,層面,n,0,0,0
515,asset,資產,n,0,0,0
516,assurance,保證、確認,n,0,0,0
517,attempt,嘗試,n,0,0,0
518,authority,權威、當局,n,0,0,0
519,background,背景、幕後,n,0,0,0
520,balance,均衡,n,0,0,0
521,barrier,障礙,n,0,0,0
522,benefit,利益、好處,n,0,0,0
523,biography,自傳,n,0,0,0
524,bloom,花開,n,0,0,0
525,border,邊界,n,0,0,0
526,burden,負擔,n,0,0,0
527,candidate,候選人、應試者,n,0,0,0
528,capacity,容量、能力,n,0,0,0
529,capital,資金、首都,n,0,0,0
530,casualty,死傷,n,0,0,0
531,championship,冠軍頭銜,n,0,0,0
532,charity,慈善事業、慈善機構,n,0,0,0
533,colony,殖民地、僑居地,n,0,0,0
534,column,專欄、石柱,n,0,0,0
535,comparison,比較,n,0,0,0
536,competition,競爭性、競爭,n,0,0,0
537,connection,關聯,n,0,0,0
538,conscience,良心,n,0,0,0
539,consequence,結果,n,0,0,0
540,contrast,對比、對照,n,0,0,0
第十四次,0,0,0,0,0,0
541,contribution,貢獻、捐獻,n,0,0,0
542,crash,撞車、失事,n,0,0,0
543,credit,信用,n,0,0,0
544,dairy,乳品業、乳品店,n,0,0,0
545,declaration,申報、宣布,n,0,0,0
546,deposit,存款、押金,n,0,0,0
547,depression,蕭條、沮喪、憂鬱,n,0,0,0
548,depth,深度、深處,n,0,0,0
549,development,發展,n,0,0,0
550,disadvantage,缺點,n,0,0,0
551,disappointment,失望,n,0,0,0
552,disaster,災難,n,0,0,0
553,disorder,失序、混亂,n,0,0,0
554,distribution,分配,n,0,0,0
555,disturbance,干擾、騷動,n,0,0,0
556,drought,乾旱,n,0,0,0
557,economy,經濟,n,0,0,0
558,emphasis,強調、重點,n,0,0,0
559,enlargement,擴大、放大照片,n,0,0,0
560,enterprise,企業、組織,n,0,0,0
561,equality,平等,n,0,0,0
562,expansion,增加、擴展,n,0,0,0
563,expectation,期待,n,0,0,0
564,finance,財政、金融,n,0,0,0
565,forecast,預告,n,0,0,0
566,formation,形成、結構,n,0,0,0
567,formula,公式,n,0,0,0
568,fund,基金、資金,n,0,0,0
569,gap,裂口、隔閡,n,0,0,0
570,generosity,慷慨,n,0,0,0
571,glimpse,匆匆一眼,n,0,0,0
572,global,球體、地球,n,0,0,0
573,handicap,殘障,n,0,0,0
574,hatred,仇恨,n,0,0,0
575,headline,標題、頭條,n,0,0,0
576,horizon,地平線,n,0,0,0
577,hostage,人質,n,0,0,0
578,humanity,人道、人類(總稱),n,0,0,0
579,hurricane,颶風,n,0,0,0
580,immigration,移民(移入),n,0,0,0
第十五次,0,0,0,0,0,0
581,impact,衝擊、影響,n,0,0,0
582,indication,顯示、指出,n,0,0,0
583,inhabitant,居民,n,0,0,0
584,innocence,無辜,n,0,0,0
585,invasion,侵犯、侵略,n,0,0,0
586,investment,投資,n,0,0,0
587,isolation,孤立,n,0,0,0
588,issue,話題、議題,n,0,0,0
589,judgment,判斷,n,0,0,0
590,justice,公平、正義,n,0,0,0
591,literature,文學,n,0,0,0
592,luxury,奢華、奢侈品,n,0,0,0
593,majority,多數,n,0,0,0
594,mansion,豪宅,n,0,0,0
595,medal,獎章,n,0,0,0
596,metro,捷運系統,n,0,0,0
597,miracle,奇蹟,n,0,0,0
598,murder,謀殺案,n,0,0,0
599,nationality,國籍,n,0,0,0
600,option,選擇,n,0,0,0
601,orphanage,孤兒院,n,0,0,0
602,outcome,結果,n,0,0,0
603,panic,驚慌,n,0,0,0
604,penalty,處罰,n,0,0,0
605,percent,百分比,n,0,0,0
606,perfection,完美,n,0,0,0
607,politics,政治,n,0,0,0
608,possession,擁有、財產,n,0,0,0
609,possibility,可能性,n,0,0,0
610,poverty,貧窮,n,0,0,0
611,prevention,預防,n,0,0,0
612,property,房產、財產,n,0,0,0
613,proportion,比例、部分,n,0,0,0
614,protest,抗議,n,0,0,0
615,quantity,數量,n,0,0,0
616,queue,隊伍,n,0,0,0
617,railway,鐵路,n,0,0,0
618,rate,比例、比率,n,0,0,0
第十六次,0,0,0,0,0,0
619,recession,衰退,n,0,0,0
620,recovery,恢復、復甦,n,0,0,0
621,reduction,減少、刪減,n,0,0,0
622,reform,改革、改良,n,0,0,0
623,rescue,營救,n,0,0,0
624,reservation,預定、保護區,n,0,0,0
625,residence,居住、住宅、官邸,n,0,0,0
626,risk,危險性,n,0,0,0
627,sentence,句子,n,0,0,0
628,separation,分離、分居,n,0,0,0
629,shortage,短缺,n,0,0,0
630,signal,交通號誌、信號,n,0,0,0
631,significance,重要性,n,0,0,0
632,similarity,相似性,n,0,0,0
633,skyscraper,摩天大樓,n,0,0,0
634,starvation,飢餓,n,0,0,0
635,state,狀況、(美國的)州,n,0,0,0
636,stock,股票、存貨,n,0,0,0
637,structure,結構,n,0,0,0
638,suffering,痛苦、折磨,n,0,0,0
639,supporter,支持者、擁護者,n,0,0,0
640,sympathy,同情心,n,0,0,0
641,territory,領土,n,0,0,0
642,tourism,觀光業,n,0,0,0
643,transfer,轉移,n,0,0,0
644,transportation,交通運輸,n,0,0,0
645,triumph,勝利,n,0,0,0
646,variety,多元、多樣性,n,0,0,0
647,vehicle,交通工具,n,0,0,0
648,venture,商業冒險,n,0,0,0
649,victim,罹難者、受害者,n,0,0,0
650,violation,違反,n,0,0,0
651,violence,暴力,n,0,0,0
652,volunteer,志願者、志工,n,0,0,0
653,wealth,財富,n,0,0,0
654,zone,地帶、地區,n,0,0,0
第十七次,0,0,0,0,0,0
655,academy,學院、藝術院,n,0,0,0
656,accuracy,正確性,n,0,0,0
657,admiration,羨慕、讚賞,n,0,0,0
658,altitude,態度,n,0,0,0
659,analysis,分析,n,0,0,0
660,angle,角度、觀點,n,0,0,0
661,anxiety,焦慮,n,0,0,0
662,approach,方法、靠近,n,0,0,0
663,arithmetic,算數,n,0,0,0
664,astronaut,太空人,n,0,0,0
665,automobile,汽車,n,0,0,0
666,award,獎項、獎金,n,0,0,0
667,bacteria,細菌(複),n,0,0,0
668,brake,煞車,n,0,0,0
669,celebration,慶祝、慶祝活動,n,0,0,0
670,challenge,挑戰,n,0,0,0
671,champion,捍衛者、冠軍得主,n,0,0,0
672,characteristic,特色、特徵,n,0,0,0
673,chemistry,化學,n,0,0,0
674,cinema,電影、電影業,n,0,0,0
675,circulation,循環、流通,n,0,0,0
676,circumstance,情勢、條件,n,0,0,0
677,civilization,文明,n,0,0,0
678,classification,分類,n,0,0,0
679,combination,結合,n,0,0,0
680,composition,作品、作文,n,0,0,0
681,comprehension,理解力,n,0,0,0
682,concentration,專心、注意力,n,0,0,0
683,concept,概念、想法,n,0,0,0
684,conclusion,結論,n,0,0,0
685,condition,狀況、條件,n,0,0,0
686,content,內容、包含的東西,n,0,0,0
687,convenience,方便性、便利,n,0,0,0
688,creation,創造、創立,n,0,0,0
689,creature,生物,n,0,0,0
690,cruelty,殘忍,n,0,0,0
691,curiosity,好奇心,n,0,0,0
第十八次,0,0,0,0,0,0
692,cycle,循環、週期,n,0,0,0
693,delight,愉快,n,0,0,0
694,demonstration,示範,n,0,0,0
695,despair,失望,n,0,0,0
696,destination,目的地,n,0,0,0
697,detail,細節,n,0,0,0
698,determination,決心、決定,n,0,0,0
699,device,設備、裝置,n,0,0,0
700,devotion,投入、奉獻,n,0,0,0
701,digestion,消化,n,0,0,0
702,discovery,發現,n,0,0,0
703,disease,疾病,n,0,0,0
704,distinction,區別、不同,n,0,0,0
705,earthquake,地震,n,0,0,0
706,electricity,電、電力,n,0,0,0
707,evidence,證據,n,0,0,0
708,evolution,演化、進步,n,0,0,0
709,excellence,優秀、傑出表現,n,0,0,0
710,exception,例外,n,0,0,0
711,existence,存在,n,0,0,0
712,experiment,實驗,n,0,0,0
713,explanation,解釋,n,0,0,0
714,explosion,爆炸,n,0,0,0
715,exposure,曝露、接觸,n,0,0,0
716,facility,設備,n,0,0,0
717,factor,因素,n,0,0,0
